instnm,State abbreviation (HD2020),Percent admitted - total (DRVADM2020),Graduation rate  total cohort (DRVGR2020),Graduation rate  men (DRVGR2020),Graduation rate  women (DRVGR2020),Core revenues  total dollars (GASB) (DRVF2020),Student service expenses as a percent of total core expenses (GASB) (DRVF2020),Student-to-faculty ratio (EF2020D),Full-time fall 2019 cohort (EF2020D),Percent of full-time first-time undergraduates awarded any financial aid (SFA1920),Percent of full-time first-time undergraduates awarded Pell grants (SFA1920),Published in-state tuition and fees 2020-21 (IC2020_AY),Published out-of-state tuition and fees 2020-21 (IC2020_AY),Admission test scores (ADM2020),ACT Composite 75th percentile score (ADM2020),SAT Evidence-Based Reading and Writing 75th percentile score (ADM2020),SAT Math 75th percentile score (ADM2020),Total men (EF2020  All students total),Total women (EF2020  All students total),Total  enrollment (DRVEF2020)
Humboldt State University,CA,85,49,48,50,220764617,13,17,815,79,49,7858,19738,1,25,610,580,2696,3916,6612
San Jose State University,CA,67,66,62,70,682983093,12,25,3867,72,39,7852,19732,1,26,610,630,16958,19250,36208
Tennessee Technological University,TN,80,57,53,61,232156148,13,18,1683,98,38,9636,19668,1,28,650,620,5324,4853,10177
Kean University,NJ,78,50,45,54,261168985,16,18,1725,94,57,12445,19621,5,22,550,550,5021,9043,14064
San Diego State University,CA,37,76,73,79,731152074,13,27,5189,61,26,7720,19600,1,29,640,660,15546,20788,36334
California State University-San Marcos,CA,79,57,49,61,301640203,10,27,2131,83,51,7712,19592,1,22,570,560,6222,10145,16367
Bowling Green State University-Main Campus,OH,75,62,56,66,311288922,6,19,3369,95,29,11573,19562,1,26,610,600,7774,10368,18142
Fort Lewis College,CO,92,42,35,50,69256349,20,15,746,95,40,8896,19552,1,22,590,580,1556,1913,3469
University of Wyoming,WY,94,59,54,64,518792000,4,14,1752,95,21,5791,19531,1,28,620,620,5546,6283,11829
Northwestern State University of Louisiana,LA,95,47,42,50,120345601,9,19,1312,98,58,8672,19460,1,23,570,560,3216,8231,11447
Wright State University-Main Campus,OH,96,43,42,45,303646907,5,14,1373,93,41,10012,19430,1,25,620,600,4875,6061,10936
Alabama State University,AL,99,32,23,37,145518903,12,15,1000,93,76,11068,19396,1,20,531,518,1435,2637,4072
Marshall University,WV,89,50,46,54,268128358,7,18,1752,96,46,8512,19366,1,25,590,555,4805,7153,11958
North Carolina Central University,NC,87,52,49,53,194877097,3,16,1023,96,74,6629,19336,1,19,510,500,2331,5747,8078
California State Polytechnic University-Pomona,CA,65,67,63,73,496043002,8,29,3643,78,47,7438,19318,1,27,610,640,15867,14147,30014
California State University-Sacramento,CA,83,54,49,57,608492268,9,26,4100,85,58,7418,19298,1,23,570,560,13650,18643,32293
The University of West Florida,FL,58,48,41,53,238912472,5,20,1049,93,32,6360,19241,1,27,630,600,5089,7972,13061
Bowie State University,MD,81,43,38,47,112035718,11,16,801,89,58,8444,19136,5,19,520,500,2336,3914,6250
SUNY College of Environmental Science and Forestry,NY,60,77,69,86,90872334,6,14,352,92,28,9130,19040,1,30,650,650,1103,1024,2127
California State University-Monterey Bay,CA,86,60,59,61,211723385,14,23,1036,81,47,7147,19027,1,23,590,570,2717,4692,7409
Texas A & M International University,TX,59,46,37,52,147010573,8,24,1359,98,76,7683,18983,1,20,560,540,3276,5249,8525
University of Maryland Eastern Shore,MD,62,41,36,44,101495263,6,10,508,96,58,8558,18968,1,19,510,500,1123,1523,2646
Florida International University,FL,58,67,60,73,1014576056,8,25,3306,94,50,6565,18963,1,29,640,620,25105,33731,58836
University of Arkansas at Little Rock,AR,56,42,39,44,180143514,6,13,550,96,58,8366,18957,1,25,610,580,3276,5623,8899
West Virginia University Institute of Technology,WV,55,28,27,29,21117518,4,13,318,96,42,7560,18912,5,23,570,560,783,862,1645
University of Science and Arts of Oklahoma,OK,36,41,30,45,18580755,8,16,180,100,49,8040,18900,5,19,600,600,260,473,733
California State University-Northridge,CA,66,55,47,61,692780212,14,28,4757,87,65,7017,18897,1,22,560,550,17408,22973,40381
Indiana University of Pennsylvania-Main Campus,PA,93,54,49,59,220486820,10,18,1754,92,45,13144,18897,1,24,580,550,3946,6091,10037
San Francisco State University,CA,84,55,48,60,605387392,8,22,3517,78,49,7006,18886,1,23,570,560,11858,15491,27349
SUNY at Purchase College,NY,74,61,57,64,122987276,8,12,789,84,36,8953,18863,5,30,660,620,1483,2202,3685
California State University-Fullerton,CA,68,69,62,74,677177239,7,27,4692,80,50,6953,18833,1,23,590,590,17390,24661,42051
California State University-San Bernardino,CA,78,59,53,63,374041730,8,27,2846,89,66,6952,18832,1,20,540,540,7344,12345,19689
Auburn University at Montgomery,AL,96,30,25,33,89554986,9,16,602,98,56,8860,18820,1,23,575,515,1770,3442,5212
